"title","audience_score","genre","studio","runtime","mpaa_rating","rel_year","rel_month","rel_day","critics_rating","critics_score","rt_num_votes","imdb_num_votes","imdb_avg_score","budget","best_dir_win","best_actor_win","director","actor1","actor2","actor3","actor4","actor5"
"bwoy",50,"Drama","Other",85,"NR",2017,3,31,"Fresh",88,43,144,5.1,NA,0,0,"John G. Young","Anthony Rapp"," De'Adre Aziza"," Jimmy Brooks"," Drew Allen (IV)"," Jermaine Rowe"
"Dante's Peak",38,"Action & Adventure","Universal Pictures",108,"PG-13",1997,2,7,"Rotten",26,238773,79800,5.9,1.16e+08,0,0,"Roger Donaldson","Pierce Brosnan"," Linda Hamilton"," Charles Hallahan"," Grant Heslov"," Elizabeth Hoffman"
"Feast of Love",55,"Drama","MGM",102,"R",2007,9,28,"Rotten",39,117443,15884,6.6,NA,1,0,"Robert Benton","Morgan Freeman"," Greg Kinnear"," Radha Mitchell"," Billy Burke"," Selma Blair"
"Touchback",63,"Drama","Anchor Bay Entertainment",118,"PG-13",2012,4,13,"Rotten",38,5344,3850,6.5,5e+06,0,0,"Don Handfield","Brian Presley"," Melanie Lynskey"," Marc Blucas"," Kurt Russell"," Christine Lahti"
"The Fisher King",86,"Comedy","TriStar Pictures",132,"R",1991,9,20,"Certified-Fresh",84,45801,77764,7.5,2.4e+07,0,0,"Terry Gilliam","Robin Williams"," Jeff Bridges"," Mercedes Ruehl"," Amanda Plummer"," Michael Jeter"
"Beautiful Creatures",54,"Drama","Warner Bros",123,"PG-13",2013,2,14,"Rotten",47,44401,83008,6.1,6e+07,0,0,"Richard LaGravenese","Alden Ehrenreich"," Alice Englert"," Jeremy Irons"," Viola Davis"," Emmy Rossum"
"Open Season",57,"Action & Adventure","Sony Pictures",87,"PG",2006,9,29,"Rotten",48,468633,84628,6.1,8.5e+07,0,0,"Roger Allers","Jon Favreau"," Jack McGee"," Michelle Murdocca"," Fergal Reilly"," Martin Lawrence"
"Severed Ways: The Norse Discovery of America",38,"Action & Adventure","Magnolia Pictures",110,"NR",2009,3,13,"Rotten",35,12199,487,4.5,NA,0,0,"Tony Stone","Fiore Tedesco"," Tony Stone"," David Perry"," Noelle Bailey"," Clare Amory"
"The Hunt",NA,"Horror","Other",74,"NR",2012,7,24,"Fresh",83,NA,52794,6.5,1.4e+07,0,0,"Thomas Szczepanski","Jellali Mouina"," Sarah Lucide"," Michel Coste"," Marie Christine Jeanney"," Zuriel De Peslouan"
"The Watch",39,"Comedy","20th Century Fox",101,"R",2012,7,27,"Rotten",17,80735,119823,5.7,6.8e+07,0,0,"Akiva Schaffer","Jonah Hill"," Ben Stiller"," Richard Ayoade"," Rosemarie DeWitt"," Will Forte"
"I Love You, Man",74,"Comedy","Paramount Pictures",105,"R",2009,3,20,"Certified-Fresh",83,1551235,191738,7,4e+07,0,0,"John Hamburg","Paul Rudd"," Jason Segel"," Rashida Jones"," Andy Samberg"," Jaime Pressly"
"Red Sparrow",49,"Action & Adventure","20th Century Fox",139,"R",2018,3,2,"Rotten",45,4272,159357,6.6,6.9e+07,0,1,"Francis Lawrence","Jennifer Lawrence"," Joel Edgerton"," Matthias Schoenaerts"," Charlotte Rampling"," Jeremy Irons"
"Beneath",14,"Horror","Universal Pictures",89,"NR",2013,5,3,"Rotten",33,199,3876,5.4,NA,0,0,"Larry Fessenden","Mark Margolis"," Daniel Zovatto"," Danny Zovatto"," Bonnie Dennison"," Chris Conroy"
"Littlerock",71,"Comedy","Other",83,"NR",2011,8,12,"Fresh",82,561,523,6.1,NA,0,0,"Mike Ott","Atsuko Okatsuka"," Cory Zacharia"," Rintaro Sawamoto"," Brett L. Tinnes"," Roberto 'Sanz' Sanchez"
"Candy Jar",67,"Comedy","Netflix",NA,"NR",2018,4,27,"Fresh",71,126,4145,5.8,NA,0,0,"Ben Shelton","Christina Hendricks"," Helen Hunt"," Uzo Aduba"," Tom Bergeron"," Sami Gayle"
"Free the Nipple",31,"Comedy","IFC Films",79,"NR",2014,12,12,"Rotten",18,433,1627,3.9,937000,0,0,"Lina Esco","Lina Esco"," Casey LaBow"," Lola Kirke"," Zach Grenier"," Griffin Newman"
"The Social Network",86,"Drama","Columbia Pictures",120,"PG-13",2010,10,1,"Certified-Fresh",96,204126,608745,7.7,4e+07,0,0,"David Fincher","Jesse Eisenberg"," Andrew Garfield"," Justin Timberlake"," Armie Hammer"," Max Minghella"
"I Love Trouble",33,"Action & Adventure","Buena Vista",123,"PG",1994,6,29,"Rotten",22,20355,372,6.9,NA,0,0,"Charles Shyer","Nick Nolte"," Julia Roberts"," Saul Rubinek"," James Rebhorn"," Robert Loggia"
"Win Win",85,"Comedy","20th Century Fox",106,"R",2011,3,18,"Certified-Fresh",94,32026,52416,7.1,NA,0,0,"Tom McCarthy","Paul Giamatti"," Amy Ryan"," Bobby Cannavale"," Jeffrey Tambor"," Burt Young"
"Club Life",17,"Drama","The Orchard",90,"R",2015,5,29,"Rotten",20,130,114,4.8,NA,0,0,"Fabrizio Conte","Jerry Ferrara"," Jessica Szohr"," Jay R. Ferguson"," Al Sapienza"," Robert Davi"
"American Pastime",68,"Drama","Warner Bros",105,"NR",2007,5,12,"Rotten",33,1567,690,6.6,NA,0,0,"Desmond Nakano","Aaron Yoo"," Gary Cole"," Leonardo Nam"," Masatoshi Nakamura"," Judy Ongg"
"The Art of Self-Defense",63,"Comedy","Unknown",104,"R",2019,7,19,"Certified-Fresh",84,631,25260,6.7,NA,0,0,"Riley Stearns","Jesse Eisenberg"," Caroline Amiguet"," Alessandro Nivola"," Imogen Poots"," Steve Terada"
"Emperor",46,"Drama","Roadside Attractions",106,"PG-13",2013,3,8,"Rotten",32,7417,277,4.8,NA,0,0,"Peter Webber","Matthew Fox"," Tommy Lee Jones"," Eriko Hatsune"," Toshiyuki Nishida"," Masayoshi Haneda"
"Megan Leavey",82,"Drama","Other",116,"PG-13",2017,6,9,"Certified-Fresh",87,10429,21165,7.1,NA,0,0,"Gabriela Cowperthwaite","Kate Mara"," Ramon Rodríguez"," Tom Felton"," Bradley Whitford"," Common"
"Wet Hot American Summer",76,"Comedy","Other",97,"R",2001,7,27,"Rotten",38,39653,53402,6.6,5e+06,0,0,"David Wain","Janeane Garofalo"," David Hyde Pierce"," Michael Showalter"," Marguerite Moreau"," Paul Rudd"
"Murder by Numbers",49,"Drama","Warner Bros",120,"R",2002,4,19,"Rotten",31,61932,52231,6.2,5e+07,0,1,"Barbet Schroeder","Sandra Bullock"," Ben Chaplin"," Ryan Gosling"," Michael Pitt"," Agnes Bruckner"
"Hell Baby",27,"Comedy","Other",93,"R",2013,9,6,"Rotten",31,4970,8803,4.9,2500000,0,0,"Robert Ben Garant","Leslie Bibb"," Rob Corddry"," Paul Scheer"," Riki Lindhome"," Thomas Lennon"
"Hot Shots! Part Deux",63,"Action & Adventure","20th Century Fox",89,"PG-13",1993,5,21,"Rotten",57,87567,82929,6.6,2.5e+07,0,0,"Jim Abrahams","Charlie Sheen"," Lloyd Bridges"," Valeria Golino"," Richard Crenna"," Brenda Bakke"
"Election",79,"Comedy","Paramount Pictures",103,"R",1999,5,3,"Certified-Fresh",92,61797,88174,7.2,2.5e+07,0,0,"Alexander Payne","Matthew Broderick"," Reese Witherspoon"," Chris Klein"," Jessica Campbell"," Colleen Camp"
"The Glass House",39,"Drama","Other",106,"PG-13",2001,9,14,"Rotten",21,58218,32222,5.8,3e+07,0,0,"Daniel Sackheim","Leelee Sobieski"," Diane Lane"," Stellan Skarsgård"," Trevor Morgan"," Bruce Dern"
"Clifford",67,"Comedy","MGM",89,"PG",1994,4,1,"Rotten",13,8913,6610,5.5,1.9e+07,0,0,"Paul Flaherty","Martin Short"," Charles Grodin"," Mary Steenburgen"," Dabney Coleman"," G.D. Spradlin"
"Kickboxer 2: The Road Back",31,"Action & Adventure","HBO Video",89,"R",1990,6,1,"Rotten",20,7676,5207,4.5,NA,0,0,"Albert Pyun","Sasha Mitchell"," Michel Qissi"," Peter Boyle"," Dennis Chan"," Vincent Murdocco"
"Almost Friends",47,"Comedy","Other",101,"NR",2017,11,17,"Rotten",29,148,3494,5.9,NA,0,0,"Jake Goldberger","Freddie Highmore"," Odeya Rush"," Haley Joel Osment"," Jake Abel"," Rita Volk"
"The Killer Inside Me",40,"Drama","IFC Films",108,"R",2010,6,18,"Rotten",55,15204,371,6,1200000,0,0,"Michael Winterbottom","Casey Affleck"," Kate Hudson"," Jessica Alba"," Ned Beatty"," Elias Koteas"
"Shadow Conspiracy",18,"Action & Adventure","Other",103,"R",1997,1,25,"Rotten",0,2956,4338,4.9,4.5e+07,0,0,"George P. Cosmatos","Charlie Sheen"," Donald Sutherland"," Linda Hamilton"," Stephen Lang"," Ben Gazzara"
"Romance & Cigarettes",56,"Art House & International","Other",105,"R",2007,9,7,"Rotten",52,9740,11341,6.3,NA,0,0,"John Turturro","James Gandolfini"," Susan Sarandon"," Kate Winslet"," Steve Buscemi"," Bobby Cannavale"
"International Falls",77,"Comedy","Other",93,"NR",2020,3,20,"Fresh",100,39,250,5.4,NA,0,0,"Amber McGinnis","Kevin Nealon"," Matthew Glave"," Mindy Sterling"," Rachael Harris"," Erik Griffin"
"Toad Road",49,"Drama","Other",76,"NR",2013,10,25,"Fresh",75,278,1196,5.1,NA,0,0,"Jason Banker","Sara Anne Jones"," James Davidson"," Jim Driscoll"," Whitleigh Higuera"," Damon Johansen"
"The Lookalike",48,"Drama","Well Go USA",100,"NR",2014,11,7,"Rotten",20,215,172,4,NA,0,0,"Richard Gray","Jerry O'Connell"," Scottie Thompson"," Gillian Jacobs"," Justin Long"," John Corbett"
"Monkeybone",27,"Animation","20th Century Fox",92,"PG-13",2001,2,23,"Rotten",19,47271,16489,4.7,7.5e+07,0,0,"Henry Selick","Brendan Fraser"," Bridget Fonda"," Chris Kattan"," John Turturro"," Giancarlo Esposito"
"Brotherhood",54,"Drama","Other",76,"R",2011,2,18,"Rotten",54,1639,3861,6.4,NA,0,0,"Will Canon","Jon Foster"," Trevor Morgan"," Arlen Escarpeta"," Lou Taylor Pucci"," Arlen Alexander Escarpeta"
"American Pie 2",68,"Comedy","Universal Pictures",105,"R",2001,8,10,"Rotten",52,954966,236374,6.4,3e+07,0,0,"J.B. Rogers","Jason Biggs"," Shannon Elizabeth"," Jennifer Coolidge"," Alyson Hannigan"," Shannon Elizabeth Fadal"
"Some Girl(s)",15,"Comedy","Other",90,"NR",2013,6,26,"Rotten",57,675,3498,4.5,NA,0,0,"Daisy von Scherler Mayer","Adam Brody"," Kristen Bell"," Mia Maestro"," Jennifer Morrison"," Emily Watson"
"Reasonable Doubt",31,"Drama","Lionsgate Entertainment",92,"R",2014,1,17,"Rotten",22,2274,117,3,NA,0,0,"Peter P. Croudins","Dominic Cooper"," Samuel L. Jackson"," Erin Karpluk"," Gloria Reuben"," Ryan Robbins"
"Donnybrook",35,"Drama","IFC Films",102,"R",2019,2,15,"Rotten",39,90,1603,5.3,NA,0,0,"Tim Sutton","Frank Grillo"," James Badge Dale"," Jamie Bell"," Margaret Qualley",NA
"Illegal Tender",67,"Drama","Universal Pictures",107,"R",2007,8,24,"Rotten",15,5268,2488,5.5,8e+06,0,0,"Franc. Reyes","Wanda De Jesus"," Rick Gonzalez"," Dania Ramirez"," Manny Perez"," Tego Calderon"
"Bio-Dome",51,"Comedy","MGM",95,"PG-13",1996,1,12,"Rotten",4,98390,25670,4.5,1.5e+07,0,0,"Jason Bloom","Pauly Shore"," Stephen Baldwin"," William Atherton"," Joey Lauren Adams"," Joey Adams"
"My Blue Heaven",59,"Comedy","Warner Bros",95,"PG-13",1990,8,17,"Fresh",71,16784,442,6.2,NA,0,0,"Herbert Ross","Steve Martin"," Rick Moranis"," Joan Cusack"," Melanie Mayron"," Carol Kane"
"The Virginity Hit",31,"Comedy","Sony Pictures",87,"R",2010,9,10,"Rotten",29,13743,3744,4.6,2e+06,0,0,"Huck Botko","Matt Bennett"," Zack Pearlman"," Jacob Davich"," Justin Kline"," Krysta Rodriguez"
"After",65,"Drama","Other",101,"R",2014,8,8,"Rotten",8,173,169,5.1,NA,0,0,"Pieter Gaspersz","Kathleen Quinlan"," John Doman"," Pablo Schreiber"," Sabrina Gennarino"," Adam Scarimbolo"
"The Woman",56,"Horror","Other",102,"R",2011,10,14,"Certified-Fresh",73,4585,21521,6,NA,0,0,"Lucky McKee","Pollyanna McIntosh"," Sean Bridgers"," Angela Bettis"," Lauren Ashley Carter"," Carlee Baker"
"Running Scared",79,"Action & Adventure","New Line Cinema",121,"R",2006,2,24,"Rotten",41,135400,345,5.3,NA,0,0,"Wayne Kramer","Paul Walker"," Cameron Bright"," Vera Farmiga"," Karel Roden"," Johnny Messner"
"The Pleasure of Being Robbed",37,"Comedy","IFC Films",71,"NR",2008,3,7,"Rotten",27,397,1416,6,NA,0,0,"Josh Safdie","Eleonore Hendricks"," Josh Safdie"," Wayne Chin"," Francesca LaPrelle"," Jordan Zaldez"
"Love",38,"Art House & International","Other",NA,"NR",2015,10,30,"Rotten",39,3413,885,6.9,488000,0,0,"Gaspar Noé","Karl Glusman"," Aomi Muyock"," Klara Kristin"," Juan Saavedra"," Vincent Maraval"
"20th Century Women",74,"Comedy","Other",118,"R",2017,1,20,"Certified-Fresh",88,12959,38690,7.3,7e+06,0,0,"Mike Mills","Annette Bening"," Elle Fanning"," Greta Gerwig"," Lucas Jade Zumann"," Billy Crudup"
"In Dreams",40,"Horror","Other",104,"R",1999,1,15,"Rotten",24,8553,12163,5.5,3e+07,0,0,"Neil Jordan","Annette Bening"," Robert Downey Jr."," Aidan Quinn"," Stephen Rea"," Dennis Boutsikaris"
"The Perks of Being a Wallflower",89,"Drama","Lionsgate Entertainment",103,"PG-13",2012,9,21,"Certified-Fresh",86,138915,451711,8,1.3e+07,0,0,"Stephen Chbosky","Logan Lerman"," Emma Watson"," Ezra Miller"," Mae Whitman"," Kate Walsh"
"Under Siege 2: Dark Territory",38,"Action & Adventure","Warner Bros",100,"R",1995,7,14,"Rotten",34,47512,43097,5.5,6e+07,0,0,"Geoff Murphy","Steven Seagal"," Eric Bogosian"," Everett McGill"," Katherine Heigl"," Morris Chestnut"
"Preservation",23,"Horror","The Orchard",90,"NR",2015,1,9,"Rotten",58,712,5309,4.7,NA,0,0,"Christopher Denham","Pablo Schreiber"," Aaron Staton"," Wrenn Schmidt"," Cody Saintgnue"," Nick Saso"
"The Monster",40,"Drama","Other",91,"R",2016,11,11,"Certified-Fresh",81,4844,906,6.2,NA,0,0,"Bryan Bertino","Zoe Kazan"," Scott Speedman"," Ella Ballentine"," Aaron Douglas"," Chris Webb"
"The General",81,"Drama","Sony Pictures",123,"R",1998,12,18,"Certified-Fresh",82,3398,78769,8.1,750000,0,0,"John Boorman","Brendan Gleeson"," Adrian Dunbar"," Sean McGinley"," Maria Doyle Kennedy"," Angeline Ball"
"The Sitter",39,"Comedy","20th Century Fox",81,"R",2011,12,9,"Rotten",22,40755,67496,5.7,2.5e+07,0,0,"David Gordon Green","Jonah Hill"," Max Records"," Ari Graynor"," JB Smoove"," Sam Rockwell"
"Dead Man Down",47,"Mystery & Suspense","Other",118,"R",2013,3,8,"Rotten",40,21062,63190,6.5,3e+07,0,0,"Niels Arden Oplev","Colin Farrell"," Noomi Rapace"," Terrence Howard"," Dominic Cooper"," Isabelle Huppert"
"Miss Stevens",67,"Drama","Other",85,"NR",2016,9,16,"Fresh",91,691,5076,6.6,NA,0,0,"Julia Hart","Lily Rabe"," Timothée Chalamet"," Lili Reinhart"," Anthony Quintal"," Rob Huebel"
"Some Days Are Better Than Others",36,"Comedy","Other",93,"NR",2011,6,3,"Rotten",50,134,225,5.9,NA,0,0,"Matt McCormick","Carrie Brownstein"," James Mercer"," David Wodehouse"," Erin McGarry"," Renee Roman Nose"
"About Cherry",16,"Drama","IFC Films",102,"R",2012,9,21,"Rotten",14,3150,9636,4.8,2500000,0,0,"Stephen Elliott","Ashley Grace"," Lili Taylor"," Dev Patel"," Heather Graham"," James Franco"
"Clara's Ghost",36,"Comedy","Other",93,"NR",2018,12,6,"Fresh",74,40,255,4.3,NA,0,0,"Bridey Elliott","Abby Elliott"," Bridey Elliott"," Chris Elliott"," Isidora Goreshter"," Haley Joel Osment"
"Black Coffee",56,"Comedy","Other",85,"PG",2014,1,10,"Rotten",40,308,701,5.6,NA,0,0,"Mark Harris","Darrin Dewitt Henson"," Gabrielle Dennis"," Christian Keyes"," Lamman Rucker"," Erica Hubbard"
"Ratatouille",87,"Animation","Walt Disney Studios",111,"G",2007,6,29,"Certified-Fresh",96,1072394,624762,8,1.5e+08,0,0,"Jan Pinkava","Patton Oswalt"," Brad Garrett"," Ian Holm"," Lou Romano"," Brian Dennehy"
"The Fan",34,"Action & Adventure","Sony Pictures",117,"R",1996,6,1,"Rotten",37,39944,527,6.6,NA,0,1,"Tony Scott","Robert De Niro"," Wesley Snipes"," Ellen Barkin"," John Leguizamo"," Benicio Del Toro"
"The Texas Chainsaw Massacre",58,"Horror","New Line Cinema",95,"R",2003,10,17,"Rotten",37,400615,128106,6.2,9500000,0,0,"Marcus Nispel","Jessica Biel"," Jonathan Tucker"," Erica Leerhsen"," Mike Vogel"," Eric Balfour"
"Tyler Perry's Boo 2! A Madea Halloween",40,"Comedy","Lionsgate Entertainment",101,"PG-13",2017,10,20,"Rotten",4,5787,3950,3.8,2.5e+07,0,0,"Tyler Perry","Tyler Perry"," Cassi Davis"," Patrice Lovely"," Inanna Sarkis"," Yousef Erakat"
"I'm Not Ashamed",82,"Drama","Other",112,"PG-13",2016,10,21,"Rotten",20,2613,3173,5.9,1500000,0,0,"Brian Baugh","Masey McLain"," Sadie Robertson"," Ben Davies"," Korie Robertson"," Jaci Velasquez"
"Lucky",30,"Drama","Film Movement",100,"NR",2011,7,15,"Rotten",23,975,443,5.4,NA,0,0,"Avie Luthra","Sihle Dlamini"," Jayashree Basavaraj"," James Ngcobo"," Vusi Kunene"," Brenda Ngxoli"
"The Stoning of Soraya M.",87,"Drama","Roadside Attractions",116,"R",2009,6,26,"Rotten",59,6666,18513,8,NA,0,0,"","Shima Poorsadeghi"," Jim Caviezel",NA,NA,NA
"Surrogates",38,"Action & Adventure","Touchstone Pictures",88,"PG-13",2009,9,25,"Rotten",37,295050,167372,6.3,8e+07,0,0,"Jonathan Mostow","Bruce Willis"," Radha Mitchell"," Rosamund Pike"," Boris Kodjoe"," James Ginty"
"All Roads Lead Home",54,"Drama","Other",108,"PG",2008,9,26,"Rotten",14,472,715,5.8,NA,0,0,"Dennis Fallon","Vivien Cardone"," Jason London"," Peter Coyote"," Peter Boyle"," Vanessa Branch"
"Day of the Dead",22,"Horror","Other",87,"R",2008,4,1,"Rotten",13,11098,61875,7.2,3500000,0,0,"Steve Miner","Ving Rhames"," Mena Suvari"," Michael Welch"," Christa Campbell"," Nick Cannon"
"The Voices",57,"Comedy","Lionsgate Entertainment",103,"R",2015,2,6,"Certified-Fresh",74,12402,385,3.8,NA,0,0,"Marjane Satrapi","Ryan Reynolds"," Gemma Arterton"," Anna Kendrick"," Gulliver McGrath"," Jacki Weaver"
"Legally Blonde",72,"Comedy","MGM",96,"PG-13",2001,7,13,"Fresh",70,972305,180089,6.3,1.8e+07,0,1,"Robert Luketic","Reese Witherspoon"," Luke Wilson"," Selma Blair"," Matthew Davis"," Victor Garber"
"Unicorn Store",41,"Comedy","Netflix",NA,"NR",2019,4,5,"Fresh",64,1590,16729,5.5,NA,0,0,"Brie Larson","Brie Larson"," Samuel L. Jackson"," Joan Cusack"," Bradley Whitford"," Mamoudou Athie"
"Suicide Kings",74,"Action & Adventure","Artisan Entertainment",106,"R",1997,4,17,"Rotten",34,50400,25806,6.9,5e+06,0,0,"Peter O'Fallon","Christopher Walken"," Denis Leary"," Henry Thomas"," Sean Patrick Flanery"," Jay Mohr"
"The Singles Ward",73,"Comedy","Other",101,"PG",2002,5,10,"Rotten",50,5046,1314,6.4,5e+05,0,0,"Kurt Hale","Will Swenson"," Connie Young"," Kirby Heyborne"," Daryn Tufts"," Michael Birkeland"
"Alexander the Last",27,"Drama","Other",72,"NR",2009,3,14,"Fresh",67,1169,678,5.1,NA,0,0,"Joe Swanberg","Jess Weixler"," Justin Rice"," Barlow Jacobs"," Amy Seimetz"," Jane Adams"
"Memoria",47,"Drama","Other",70,"R",2016,4,8,"Fresh",100,323,503,5.1,NA,0,0,"Nina Ljeti","Sam Dillon"," Thomas Mann"," James Franco"," Teo Halm"," Ruby Modine"
"The Big Bounce",24,"Action & Adventure","Warner Bros",89,"PG-13",2004,1,30,"Rotten",16,21235,346,5.4,NA,0,0,"George Armitage","Owen Wilson"," Sara Foster"," Morgan Freeman"," Charlie Sheen"," Gary Sinise"
"Smallfoot",62,"Action & Adventure","Warner Bros",96,"PG",2018,9,28,"Certified-Fresh",75,2170,31935,6.6,8e+07,0,0,"Karey Kirkpatrick","Channing Tatum"," James Corden"," Zendaya"," Common"," LeBron James"
"Fantasia 2000",75,"Animation","Buena Vista Pictures",75,"G",2000,6,16,"Certified-Fresh",81,62529,34386,7.2,8e+07,0,0,"James Algar","Steve Martin"," Angela Lansbury"," Itzhak Perlman"," Quincy Jones"," Bette Midler"
"Meet the Fockers",58,"Comedy","Universal Pictures",115,"PG-13",2004,12,22,"Rotten",39,33181885,249128,6.3,8e+07,0,1,"Jay Roach","Robert De Niro"," Ben Stiller"," Dustin Hoffman"," Barbra Streisand"," Blythe Danner"
"Up Close & Personal",66,"Drama","Touchstone Pictures",124,"PG-13",1996,3,1,"Rotten",31,16523,13288,6.2,6e+07,0,0,"Jon Avnet","Robert Redford"," Michelle Pfeiffer"," Stockard Channing"," Joe Mantegna"," Kate Nelligan"
"The Rock",85,"Action & Adventure","Walt Disney Studios",136,"R",1996,6,7,"Fresh",66,305198,307112,7.4,7.5e+07,0,0,"Michael Bay","Sean Connery"," Nicolas Cage"," Ed Harris"," Michael Biehn"," William Forsythe"
"A Bag of Hammers",66,"Comedy","Other",85,"NR",2012,5,11,"Fresh",62,498,2840,6.6,2e+06,0,0,"Brian Crano","Jason Ritter"," Jake Sandvig"," Chandler Canterbury"," Rebecca Hall"," Todd Louiso"
"Cheap Thrills",69,"Comedy","Other",85,"NR",2014,3,21,"Certified-Fresh",88,8213,17439,6.7,2e+05,0,0,"E.L. Katz","Pat Healy"," Ethan Embry"," David Koechner"," Sara Paxton"," Amanda Fuller"
"The Big Hit",57,"Action & Adventure","Sony Pictures",91,"R",1998,4,24,"Rotten",43,29771,28104,6.1,1.3e+07,0,0,"Che-Kirk Wong","Mark Wahlberg"," Lou Diamond Phillips"," Christina Applegate"," Bokeem Woodbine"," Antonio Sabato Jr."
"The Miracle Season",83,"Drama","Other",99,"PG",2018,4,6,"Rotten",51,880,4364,6.5,NA,0,1,"Sean McNamara","Helen Hunt"," Erin Moriarty (II)"," Danika Yarosh"," William Hurt"," Tiera Skovbye"
"A Time to Kill",85,"Drama","Warner Bros",150,"R",1996,7,24,"Fresh",67,95176,128589,7.5,4e+07,0,1,"Joel Schumacher","Matthew McConaughey"," Samuel L. Jackson"," Sandra Bullock"," Kevin Spacey"," Brenda Fricker"
"Season of the Witch",30,"Action & Adventure","Other",95,"PG-13",2011,1,7,"Rotten",11,79868,89377,5.4,4e+07,0,1,"Dominic Sena","Nicolas Cage"," Ron Perlman"," Stephen Campbell Moore"," Stephen Graham"," Ulrich Thomsen"
"Deceived",42,"Drama","Buena Vista Pictures",103,"PG-13",1991,9,27,"Rotten",37,3744,6347,6.2,NA,0,0,"Damian Harris","Goldie Hawn"," John Heard"," Robin Bartlett"," Ashley Peldon"," Tom Irwin"
"Radioflash",49,"Drama","IFC Midnight",103,"NR",2019,11,15,"Rotten",0,41,2177,5.6,NA,0,0,"Ben McPherson","Brighton Sharbino"," Dominic Monaghan"," Will Patton",NA,NA
"Future Weather",55,"Drama","Other",100,"NR",2013,2,22,"Fresh",93,345,490,6.1,NA,0,0,"Jenny Deller","Perla Haney-Jardine"," Amy Madigan"," Lili Taylor"," William Sadler"," Marin Ireland"
"Saints and Soldiers",77,"Action & Adventure","Other",90,"PG-13",2004,8,6,"Fresh",66,13795,19789,6.7,780000,0,0,"Ryan Little","Corbin Allred"," Alexander Polinsky"," Kirby Heyborne"," Larry Bagby"," Ben Gourley"
"Corrina, Corrina",69,"Comedy","Other",114,"PG",1994,8,12,"Rotten",39,48328,12111,6.6,NA,0,0,"Jessie Nelson","Whoopi Goldberg"," Ray Liotta"," Tina Majorino"," John Cusack"," Wendy Crewson"
"Into the Ashes",31,"Action & Adventure","Other",97,"NR",2019,7,19,"Rotten",26,45,2198,5.4,2e+06,0,0,"Aaron Harvey","Luke Grimes"," Robert Taylor (VII)"," James Badge Dale"," Frank Grillo"," Marguerite Moreau"
"Burn Your Maps",82,"Action & Adventure","Vertical Entertainment",102,"PG-13",2019,6,21,"Fresh",64,51,1166,6.7,8e+06,0,0,"Jordan Roberts","Jacob Tremblay"," Vera Farmiga"," Suraj Sharma"," Virginia Madsen"," Ramon Rodríguez"
"Don't Tell Mom the Babysitter's Dead",56,"Comedy","Warner Bros",105,"PG-13",1991,6,7,"Rotten",33,131069,27257,6.3,NA,0,0,"Stephen Herek","Christina Applegate"," Joanna Cassidy"," John Getz"," Keith Coogan"," Josh Charles"
"The Riot Act",83,"Mystery & Suspense","Other",101,"PG-13",2018,9,14,"Fresh",63,53,206,4.4,NA,0,0,"Devon Parks","Lauren Sweetser"," Brett Cullen"," Connor Price"," Brandon Keener"," Micah Hauptman"
"The Gardener",77,"Documentary","Gravitas Ventures",88,"NR",2018,3,28,"Fresh",75,94,265,4.1,8e+05,0,0,"Sébastien Chabot","Frank Cabot"," Anne Cabot"," Colin Cabot"," Penelope Hobhouse"," Adrienne Clarkson"
"Problem Child",41,"Comedy","Universal Pictures",81,"PG",1990,7,27,"Rotten",0,55989,27909,5.5,1e+07,0,0,"Dennis Dugan","John Ritter"," Michael Oliver"," Jack Warden"," Amy Yasbeck"," Gilbert Gottfried"
"Rough Night",29,"Comedy","Columbia Pictures",96,"R",2017,6,16,"Rotten",44,12563,45643,5.2,2e+07,0,0,"Lucia Aniello","Scarlett Johansson"," Kate McKinnon"," Ilana Glazer"," Zoë Kravitz"," Jillian Bell"
"Madagascar 3: Europe's Most Wanted",72,"Action & Adventure","Paramount Pictures",85,"PG",2012,6,8,"Certified-Fresh",78,256607,159018,6.8,1.45e+08,0,0,"Conrad Vernon","Ben Stiller"," Chris Rock"," David Schwimmer"," Jada Pinkett Smith"," Sacha Baron Cohen"
"Tomcats",42,"Comedy","Columbia Pictures",95,"R",2001,3,30,"Rotten",14,22960,134,5.2,NA,0,0,"Gregory Poirer","Shannon Elizabeth"," Jerry O'Connell"," Jake Busey"," Horatio Sanz"," Jaime Pressly"
"Jersey Girl",48,"Comedy","Other",97,"PG-13",2004,3,26,"Rotten",42,139045,1441,6.1,NA,0,0,"Kevin Smith","Ben Affleck"," Liv Tyler"," Raquel Castro"," George Carlin"," Jennifer Lopez"
"Little Evil",47,"Comedy","Other",94,"NR",2017,9,1,"Fresh",92,1107,18191,5.7,NA,0,0,"Eli Craig","Adam Scott"," Evangeline Lilly"," Bridget Everett"," Clancy Brown"," Owen Atlas"
"A Glimpse Inside the Mind of Charles Swan III",26,"Comedy","Other",85,"R",2013,2,8,"Rotten",16,3137,4946,4.8,NA,0,0,"Roman Coppola","Charlie Sheen"," Jason Schwartzman"," Bill Murray"," Katheryn Winnick"," Patricia Arquette"
"Snow Angels",67,"Drama","Warner Bros",106,"R",2007,1,19,"Fresh",68,6695,12194,6.8,NA,0,0,"David Gordon Green","Kate Beckinsale"," Sam Rockwell"," Michael Angarano"," Nicky Katt"," Jeanetta Arnette"
